Vdm, Vout
0.15635635635635636,4.93
0.15675675675675677,4.93
0.15715715715715717,4.93
0.15755755755755757,4.93
0.15795795795795797,4.93
0.15835835835835838,4.93
0.15875875875875878,4.93
0.15915915915915918,4.93
0.15955955955955958,4.935
0.15995995995995999,4.935
0.1603603603603604,4.935
0.1607607607607608,4.935
0.1611611611611612,4.935
0.16156156156156154,4.935
0.16196196196196194,4.935
0.16236236236236234,4.935
0.16276276276276275,4.935
0.16316316316316315,4.935
0.16356356356356355,4.935
0.16396396396396395,4.935
0.16436436436436436,4.94
0.16476476476476476,4.94
0.16516516516516516,4.94
0.16556556556556556,4.94
0.16596596596596597,4.94
0.16636636636636637,4.94
0.16676676676676677,4.935
0.16716716716716717,4.94
0.16756756756756758,4.94
0.16796796796796798,4.94
0.16836836836836838,4.94
0.16876876876876878,4.94
0.1691691691691692,4.94
0.1695695695695696,4.94
0.16996996996997,4.94
0.1703703703703704,4.94
0.1707707707707708,4.94
0.1711711711711712,4.945
0.1715715715715716,4.945
0.171971971971972,4.945
0.17237237237237235,4.945
0.17277277277277275,4.945
0.17317317317317316,4.945
0.17357357357357356,4.945
0.17397397397397396,4.945
0.17437437437437436,4.945
0.17477477477477477,4.945
0.17517517517517517,4.945
0.17557557557557557,4.945
0.17597597597597597,4.945
0.17637637637637638,4.945
0.17677677677677678,4.945
0.17717717717717718,4.945
0.17757757757757758,4.945
0.17797797797797799,4.945
0.1783783783783784,4.945
0.1787787787787788,4.95
0.1791791791791792,4.95
0.1795795795795796,4.95
0.17997997997998,4.95
0.1803803803803804,4.95
0.1807807807807808,4.95
0.1811811811811812,4.95
0.1815815815815816,4.95
0.181981981981982,4.95
0.1823823823823824,4.95
0.18278278278278282,4.95
0.18318318318318316,4.95
0.18358358358358356,4.95
0.18398398398398397,4.95
0.18438438438438437,4.95
0.18478478478478477,4.955
0.18518518518518517,4.95
0.18558558558558558,4.955
0.18598598598598598,4.955
0.18638638638638638,4.955
0.18678678678678678,4.955
0.1871871871871872,4.955
0.1875875875875876,4.955
0.187987987987988,4.955
0.1883883883883884,4.95
0.1887887887887888,4.955
0.1891891891891892,4.955
0.1895895895895896,4.955
0.18998998998999,4.955
0.1903903903903904,4.955
0.1907907907907908,4.955
0.1911911911911912,4.96
0.19159159159159161,4.96
0.19199199199199202,4.96
0.19239239239239242,4.96
0.19279279279279282,4.96
0.19319319319319322,4.96
0.19359359359359363,4.96
0.19399399399399397,4.96
0.19439439439439438,4.96
0.19479479479479478,4.96
0.19519519519519518,4.96
0.19559559559559558,4.96
0.195995995995996,4.96
0.1963963963963964,4.96
0.1967967967967968,4.96
0.1971971971971972,4.96
0.1975975975975976,4.965
0.197997997997998,4.965
0.1983983983983984,4.965
0.1987987987987988,4.96
0.1991991991991992,4.965
0.1995995995995996,4.965
0.2,4.965
